player_id,name,nickname,country,dob,style,player_elo,total_games,win_rate,avg_points_scored,avg_points_allowed,avg_points_diff,longest_winning_streak,longest_losing_streak,fastest_ball_speed,avg_aces,tournaments_won,tournaments_runner_up
17,Maya Chen,The Phoenix,CN,1990-08-20,Right Hand,2236.289845020613,88,0.5,9.65,9.82,-0.17,5,5,158.2,1.56,"{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}","{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 1}"
18,Gabriel Santos,The Hawk,BR,1993-11-09,Right Hand,2229.3540811574794,78,0.5,9.62,9.69,-0.07,3,4,157.6,2.18,"{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}","{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}"
19,Nina Ivanova,The Queen,RU,1996-10-01,Left Hand,2230.5945361812223,78,0.5,9.64,9.9,-0.26,7,5,158.3,1.36,"{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}","{'Sovereign Cup': 1, 'Grand Invitational': 0, 'World Championship': 1, 'Dominion Open': 0}"
20,Kiran Mehta,The Blaze,IN,1992-02-14,Right Hand,2223.0475037652404,80,0.45,9.69,9.98,-0.29,5,5,157.1,1.94,"{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}","{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 1}"
21,Samuel Karanja,The Lion,KE,1991-01-27,Left Hand,2389.7858600597456,104,0.5769230769230769,9.87,8.98,0.89,10,6,157.3,1.58,"{'Sovereign Cup': 1, 'Grand Invitational': 1, 'World Championship': 2, 'Dominion Open': 1}","{'Sovereign Cup': 0, 'Grand Invitational': 1, 'World Championship': 0, 'Dominion Open': 0}"
22,Elena Petrov,The Cheetah,BG,1994-07-18,Left Hand,2202.715015919706,71,0.4647887323943662,9.61,9.7,-0.09,5,8,152.6,1.42,"{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}","{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 1, 'Dominion Open': 0}"
23,Zoe Williams,The Dynamo,GB,2000-09-23,Right Hand,2247.2597557837407,95,0.5263157894736842,9.79,9.65,0.14,8,5,159.5,1.44,"{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 1}","{'Sovereign Cup': 1, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 1}"
24,Diego Reyes,The Stallion,MX,1993-05-30,Right Hand,2216.2373153004132,68,0.45588235294117646,9.66,9.79,-0.13,4,6,158.1,1.82,"{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}","{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}"
25,Saanvi Singh,The Star,IN,1995-08-05,Right Hand,2212.6856726954225,80,0.475,9.68,9.89,-0.21,4,7,157.6,1.9,"{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}","{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}"
26,Luca Bianchi,The Gladiator,IT,1989-12-12,Right Hand,2292.1961312640383,84,0.5119047619047619,9.88,9.71,0.17,5,7,151.9,1.8,"{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}","{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 1, 'Dominion Open': 0}"
27,Amira Al-Mansoori,The Wave,AE,1994-03-03,Right Hand,2254.4615539536844,119,0.5630252100840336,9.92,9.51,0.41,9,5,152.8,1.67,"{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 1}","{'Sovereign Cup': 2, 'Grand Invitational': 1, 'World Championship': 0, 'Dominion Open': 0}"
28,Tobias Schmidt,The Beast,DE,1998-06-15,Left Hand,2300.1082014098993,93,0.5591397849462365,9.74,9.6,0.14,6,9,154.2,1.52,"{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}","{'Sovereign Cup': 0, 'Grand Invitational': 1, 'World Championship': 1, 'Dominion Open': 1}"
29,Charlotte Dupont,The Ace,FR,1995-11-22,Right Hand,2220.9955954532293,66,0.45454545454545453,9.47,9.7,-0.23,7,7,154.4,1.68,"{'Sovereign Cup': 1, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}","{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}"
30,Ravi Kumar,The Stinger,IN,2001-02-01,Right Hand,2274.9225435455974,70,0.5,9.73,9.76,-0.03,3,7,156.2,1.46,"{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}","{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}"
31,Aiden Murphy,Thunder,IE,1992-07-27,Left Hand,2209.6392029177628,76,0.47368421052631576,9.66,9.76,-0.1,7,4,157.4,1.68,"{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}","{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 1, 'Dominion Open': 0}"
32,Samantha Lee,The Tornado,US,1994-10-14,Left Hand,2229.994210487755,50,0.4,8.88,9.52,-0.64,5,9,159.6,1.68,"{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 1, 'Dominion Open': 0}","{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}"
33,Yara Hassan,The Eagle,EG,1993-09-06,Right Hand,2205.346497744055,70,0.44285714285714284,9.57,9.81,-0.24,5,4,156.3,1.69,"{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}","{'Sovereign Cup': 1, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 1}"
34,Eliott Fontaine,The Phantom,FR,1990-04-20,Right Hand,2214.0197108978145,51,0.37254901960784315,8.96,9.69,-0.73,4,11,156.5,1.67,"{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}","{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}"
35,Anya Sokolova,The Viper,RU,1995-01-15,Right Hand,2268.9888174226558,117,0.5726495726495726,10.03,9.5,0.53,5,6,158.3,1.62,"{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}","{'Sovereign Cup': 0, 'Grand Invitational': 1, 'World Championship': 1, 'Dominion Open': 0}"
36,Hugo Pereira,The Jester,PT,1996-08-11,Right Hand,2222.4968901653037,63,0.4444444444444444,9.52,9.97,-0.45,8,7,156.9,1.73,"{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}","{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 1, 'Dominion Open': 0}"
37,Mila Novak,The Ace,HR,1997-12-30,Right Hand,2185.131611757502,112,0.5714285714285714,10.08,9.48,0.6,8,8,158.0,2.14,"{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}","{'Sovereign Cup': 1, 'Grand Invitational': 1, 'World Championship': 1, 'Dominion Open': 0}"
38,Zachary Park,The King,KR,1989-03-29,Right Hand,2222.506370342143,75,0.48,9.67,9.73,-0.06,6,7,158.2,1.77,"{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}","{'Sovereign Cup': 0, 'Grand Invitational': 1, 'World Championship': 0, 'Dominion Open': 0}"
39,Layla Adams,The Chase,US,1999-10-05,Right Hand,2172.269806569361,46,0.32608695652173914,8.96,10.0,-1.04,3,11,154.1,1.7,"{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}","{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}"
40,Jasper van Dijk,The Wizard,NL,1995-05-21,Left Hand,2214.9240022466993,90,0.4888888888888889,9.76,9.77,-0.01,4,7,153.4,1.67,"{'Sovereign Cup': 2, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}","{'Sovereign Cup': 0, 'Grand Invitational': 1, 'World Championship': 0, 'Dominion Open': 0}"
41,Riya Joshi,The Tiger,IN,1992-09-18,Right Hand,2282.926999046197,97,0.5670103092783505,9.82,9.56,0.26,7,4,157.0,2.08,"{'Sovereign Cup': 0, 'Grand Invitational': 1, 'World Championship': 1, 'Dominion Open': 0}","{'Sovereign Cup': 1, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}"
42,Oliver Brown,The Falcon,GB,1996-04-08,Right Hand,2280.583211995069,120,0.5583333333333333,9.9,9.37,0.53,5,3,157.4,1.75,"{'Sovereign Cup': 1, 'Grand Invitational': 1, 'World Championship': 0, 'Dominion Open': 0}","{'Sovereign Cup': 0, 'Grand Invitational': 2, 'World Championship': 0, 'Dominion Open': 0}"
43,Katarzyna Nowak,The Hurricane,PL,1991-03-12,Left Hand,2292.678686593044,99,0.5454545454545454,9.9,9.47,0.43,7,4,157.2,1.71,"{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 1, 'Dominion Open': 0}","{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 1, 'Dominion Open': 0}"
44,Maya Rodriguez,The Hawk,MX,1993-07-16,Left Hand,2160.2491887168117,37,0.1891891891891892,7.3,10.16,-2.86,2,10,156.0,0.95,"{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}","{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}"
45,Dario Rossi,The Shark,IT,1990-02-23,Left Hand,2224.6233498728443,80,0.4875,9.7,9.75,-0.05,4,5,155.5,1.52,"{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}","{'Sovereign Cup': 1, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}"
46,Nadia Rahman,The Starlight,AE,1994-12-01,Right Hand,2287.336868459451,109,0.5596330275229358,9.89,9.61,0.28,7,4,159.0,1.7,"{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 2}","{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}"
47,Liam O'Reilly,Big L,IE,1990-06-18,Right Hand,2180.928196404733,68,0.39705882352941174,9.25,9.78,-0.53,3,7,158.9,1.71,"{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}","{'Sovereign Cup': 0, 'Grand Invitational': 2, 'World Championship': 0, 'Dominion Open': 0}"
48,Kimiko Sato,The Dynamo,JP,1993-10-10,Left Hand,2214.0464325608873,48,0.3541666666666667,8.94,9.94,-1.0,2,4,155.5,1.58,"{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}","{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}"
49,Victor Chen,The Flash,TW,1995-11-09,Left Hand,2213.793037383119,95,0.5157894736842106,9.73,9.59,0.14,9,4,158.6,1.68,"{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 1, 'Dominion Open': 0}","{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}"
50,Sophia Wang,The Rocket,CN,1997-03-02,Left Hand,2360.0299447184952,74,0.5540540540540541,9.55,9.35,0.2,6,11,155.7,1.36,"{'Sovereign Cup': 1, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 2}","{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}"
51,Julian Santos,The Beast,BR,1994-04-25,Right Hand,2194.8860322476817,60,0.3333333333333333,9.27,10.03,-0.76,3,8,153.7,1.43,"{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}","{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}"
52,Alina Petrova,The Cheetah,RU,1999-08-14,Right Hand,2262.3110956271403,97,0.5360824742268041,9.99,9.66,0.33,5,7,156.8,1.79,"{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}","{'Sovereign Cup': 1, 'Grand Invitational': 0, 'World Championship': 1, 'Dominion Open': 1}"
53,Maxime Girard,The Ace,FR,1991-07-19,Left Hand,2179.353852059828,86,0.45348837209302323,9.4,9.78,-0.38,5,8,158.8,1.12,"{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 1}","{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 1}"
54,Carmen Garcia,The Star,ES,1992-12-04,Right Hand,2242.765556689641,59,0.423728813559322,9.39,10.0,-0.61,5,12,159.1,1.58,"{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 1, 'Dominion Open': 0}","{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}"
55,Rajesh Patel,The Blaze,IN,1993-01-28,Right Hand,2238.4161013304483,67,0.44776119402985076,9.82,9.87,-0.05,6,7,153.0,1.76,"{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}","{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 1}"
56,Anna Lindgren,The Phoenix,SE,1998-02-16,Right Hand,2245.7261332611856,109,0.5504587155963303,9.94,9.56,0.38,6,4,159.0,1.6,"{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}","{'Sovereign Cup': 1, 'Grand Invitational': 1, 'World Championship': 0, 'Dominion Open': 0}"
57,Marco Ferrari,The Gladiator,IT,1995-09-08,Right Hand,2235.4457112763957,56,0.4107142857142857,8.84,9.75,-0.91,5,9,156.7,1.23,"{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}","{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 1, 'Dominion Open': 0}"
58,Isha Verma,The Tornado,IN,1990-11-17,Right Hand,2212.2719344392453,82,0.4878048780487805,9.74,9.7,0.04,5,10,155.4,1.56,"{'Sovereign Cup': 0, 'Grand Invitational': 1, 'World Championship': 0, 'Dominion Open': 0}","{'Sovereign Cup': 1, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}"
59,Oscar Svensson,The Lion,SE,1994-05-05,Right Hand,2248.325670703927,76,0.5131578947368421,9.61,9.54,0.07,8,5,157.6,1.99,"{'Sovereign Cup': 1, 'Grand Invitational': 1, 'World Championship': 1, 'Dominion Open': 0}","{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}"
60,Zara Ali,The Wave,PK,1993-08-29,Right Hand,2196.0920843282,58,0.3793103448275862,9.29,9.98,-0.69,4,7,157.8,1.43,"{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}","{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}"
61,Dylan Hughes,The Champ,GB,1992-01-04,Right Hand,2205.314416283656,49,0.3469387755102041,8.94,9.9,-0.96,2,4,155.6,1.67,"{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}","{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}"
62,Fatima Boussif,The Eagle,MA,1996-06-30,Right Hand,2261.3455643670513,49,0.3877551020408163,8.98,9.76,-0.78,3,9,156.2,1.84,"{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}","{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 0}"
63,Nicolas Dubois,The Jester,FR,1988-12-24,Right Hand,2205.6798045004593,68,0.47058823529411764,9.49,9.71,-0.22,5,4,154.9,1.68,"{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 0, 'Dominion Open': 1}","{'Sovereign Cup': 0, 'Grand Invitational': 0, 'World Championship': 1, 'Dominion Open': 0}"
64,Lara Fischer,The Tornado,DE,1991-03-10,Left Hand,2333.314010805855,142,0.647887323943662,9.94,8.97,0.97,15,5,156.4,1.77,"{'Sovereign Cup': 2, 'Grand Invitational': 3, 'World Championship': 1, 'Dominion Open': 1}","{'Sovereign Cup': 0, 'Grand Invitational': 1, 'World Championship': 0, 'Dominion Open': 0}"
